id,x,y,z,heading,slope,crossfall,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right
26,1350878.599930,7223746.596875,38.891100,6182802.724549,-0.023785,-0.187961,3,None,None,None,None,13.4618289937,1.5854,21.4225658808,5.806599999999996,4,6.65979793385,2.2145999999999972,7.00711916819,2.872399999999999,13.8844482504,1.7556000000000012,23.5833957646,6.4664,5,None,None,None,None,None,None,None,None,6,12.257797265,1.5775999999999968,28.8338746248,2.3425999999999974,None,None,None,None
27,1350879.800855,7223747.447240,38.856100,6275519.685221,0.002853,-0.140550,3,None,None,None,None,12.9995749651,1.6373999999999995,23.3133147573,8.721400000000003,4,None,None,None,None,13.1835694406,1.8456000000000046,24.3076100599,11.607399999999998,5,None,None,None,None,18.8446823896,8.684400000000004,21.6616210329,12.534400000000005,6,12.3634518736,1.6206000000000031,27.559072014,2.377600000000001,None,None,None,None
28,1350880.951735,7223748.247580,38.860100,6262147.319116,0.000614,-0.142185,3,None,None,None,None,13.4832175662,1.6203999999999965,26.3034858783,10.375399999999999,4,None,None,None,None,13.3945216918,1.6625999999999976,25.6079654604,12.378099999999996,5,None,None,None,None,19.6745716542,9.120099999999994,22.3196536213,13.646099999999997,6,12.5123135672,1.6165999999999983,26.3574043863,2.373599999999996,None,None,None,None
29,1350882.402850,7223749.298025,38.861200,6212425.218968,0.001027,-0.121173,3,None,None,None,None,14.1105362319,1.6574999999999989,27.6473018167,10.374299999999998,4,None,None,None,None,14.7681734976,1.6614999999999966,26.7124127404,12.500299999999996,5,None,None,None,None,19.0103938835,8.268299999999996,22.3133027663,13.962299999999999,6,12.5684113557,1.6114999999999995,24.8715149605,2.372499999999995,None,None,None,None
30,1350883.553730,7223750.198410,38.862700,6262718.843775,-0.010884,-0.132267,3,None,None,None,None,13.452403567,1.6060000000000016,29.9586073356,11.138800000000003,4,None,None,None,None,15.7333732154,4.187800000000003,22.8498378164,14.027000000000001,5,None,None,None,None,19.8794774202,8.045500000000004,23.6783910157,14.460800000000006,6,12.7172456059,1.6070000000000064,23.7245514436,2.371000000000002,None,None,None,None
31,1350884.654575,7223750.898705,38.848500,6303116.981683,-0.023292,-0.118322,3,None,None,None,None,11.7984917867,1.6400000000000006,30.9742848237,11.152999999999999,4,None,None,None,None,11.8112089768,1.6391999999999953,24.1383150528,14.5702,5,None,None,None,None,20.8977616241,9.357,24.3502231658,14.558,6,12.5188101801,1.620199999999997,22.6518697447,2.3851999999999975,None,None,None,None
32,1350885.905535,7223751.799095,38.812600,6210432.268666,0.019283,-0.164408,3,None,None,None,None,11.6263138122,1.667900000000003,30.160023347,11.234900000000003,4,None,None,None,None,11.7368998533,1.6761000000000053,25.8623882674,14.776000000000003,5,None,None,None,None,21.3709846948,9.586600000000004,27.0050673232,14.657600000000002,6,12.5684163124,1.660100000000007,29.1148427278,2.423100000000005,None,None,None,None
33,1350887.256565,7223752.849535,38.845600,6159185.153467,-0.007804,-0.130424,3,None,None,None,None,12.341438494,1.8729000000000013,31.3775669731,11.201900000000002,4,None,None,None,None,11.7328133303,1.954100000000004,27.1022555981,14.743000000000002,5,None,None,None,None,22.5973421091,9.553600000000003,28.2325453922,14.624600000000001,6,12.9094353397,1.6300999999999988,27.6533344885,2.390100000000004,None,None,None,None
34,1350888.507525,7223753.849965,38.833100,6197429.078858,0.005515,-0.145007,3,None,None,None,None,11.9666239812,1.767399999999995,32.5427705575,11.214399999999998,4,None,None,None,None,11.584309181,1.933399999999999,28.2930745076,14.755499999999998,5,None,None,None,None,19.9626563938,10.6025,29.410813579,14.637099999999997,6,13.0584113763,1.634599999999999,26.3251297895,2.4025999999999996,None,None,None,None
35,1350889.758485,7223754.750345,38.841600,6259112.087299,-0.006864,-0.130171,3,None,None,None,None,12.1026005532,1.7278999999999982,29.0221021266,11.538899999999998,4,None,None,None,None,12.0162161572,1.8460999999999999,29.5233030149,14.747,5,None,None,None,None,21.0115092876,10.569000000000003,30.6293472781,14.628599999999999,6,13.0214382627,1.626100000000001,25.0319729504,2.3941000000000017,None,None,None,None
36,1350890.959405,7223755.600705,38.831500,6216636.518296,-0.017179,-0.116977,3,None,None,None,None,11.3153508037,1.7190000000000012,30.1311941997,11.549,4,None,None,None,None,10.7208717052,1.9600000000000009,30.7304258828,14.757100000000001,5,None,None,None,None,9.22999091832,5.6041000000000025,31.8253677612,14.6387,6,13.2264276341,1.6372,23.8183075122,2.404200000000003,None,None,None,None
37,1350892.310440,7223756.651155,38.802100,6242565.774274,-0.030142,-0.186481,3,None,None,None,None,12.3634574788,2.6613999999999933,31.4099075346,11.578399999999995,4,None,None,None,None,10.7148313551,1.9314999999999998,32.1196380384,14.786499999999997,5,None,None,None,None,10.5656706593,5.633499999999998,33.2009026308,14.668099999999995,6,13.2827128324,1.6725999999999956,22.494154746,2.4335999999999984,None,None,None,None
38,1350893.511360,7223757.451495,38.758600,6235572.068596,-0.010283,-0.187056,3,None,None,None,None,11.8201333515,1.7949000000000055,32.5824865853,11.621900000000004,4,None,None,None,None,11.4573994042,2.2720000000000056,33.3693605929,14.830000000000005,5,None,None,None,None,11.8201323357,5.677000000000007,34.4404778073,14.711600000000004,6,13.3564218142,1.717100000000002,21.3510790204,2.477100000000007,None,None,None,None
39,1350894.562165,7223758.301855,38.744700,6131959.425540,0.017044,-0.158658,3,None,None,None,None,12.6315012936,3.223799999999997,33.6260998532,11.635799999999996,4,None,None,None,None,11.1903153814,1.793999999999997,34.4895239818,14.843899999999998,5,None,None,None,None,13.2135564434,5.512899999999995,35.5498594784,14.725499999999997,6,13.4248426057,1.7339999999999947,27.215620572,2.4919999999999973,None,None,None,None
40,1350895.863160,7223759.352305,38.773200,6187177.281577,-0.006235,-0.211496,3,None,None,None,None,11.2232431537,1.7102999999999966,34.9473861735,11.607299999999995,4,None,None,None,None,11.2094112164,1.7224000000000004,35.8982034204,14.815399999999997,5,None,None,None,None,15.637902295,5.8735,36.9454991951,14.696999999999996,6,13.3191492198,1.7014999999999958,27.6311711209,2.481499999999997,None,None,None,None
41,1350896.913965,7223760.102625,38.765150,6187177.298371,0.006010,-0.194843,3,None,None,None,None,11.5268105864,1.9033500000000032,36.0304168798,11.61535,4,None,None,None,None,11.2283998996,1.7064500000000038,37.0382032463,14.823450000000001,5,None,None,None,None,16.7443293219,5.881550000000004,38.0766388606,14.70505,6,13.1403201815,1.7045500000000047,26.5031352016,2.4895500000000013,None,None,None,None
42,1350898.214960,7223761.153075,38.775200,6181304.803731,-0.011021,-0.210798,3,None,None,None,None,11.8813627881,2.0242999999999967,37.3991811051,11.605299999999993,4,15.9530744808,1.7214999999999918,16.7082957287,1.7264999999999944,11.2727724433,1.8323999999999927,37.7528361363,14.413399999999996,5,None,None,None,None,18.3102368645,6.0434999999999945,39.3804136964,14.436999999999998,6,13.1577374069,1.694499999999998,25.1202597615,2.4794999999999945,None,None,None,None
43,1350899.315810,7223761.953415,38.760200,6057478.171134,-0.037583,-0.203603,3,None,None,None,None,11.2727724432,1.7993000000000023,38.5672330431,11.6203,4,14.7887445735,1.7364999999999995,15.5251560948,1.741500000000002,11.0746869488,1.7494000000000014,38.5919461572,14.224400000000003,5,None,None,None,None,19.4784698587,6.058500000000002,38.5595746018,14.103300000000004,6,12.773428264,1.7154999999999987,23.9817183956,2.494500000000002,None,None,None,None
44,1350900.416650,7223763.053880,38.701700,6162015.556917,0.058597,-0.082247,3,None,None,None,None,11.0606713616,1.956799999999994,39.7834215024,11.678799999999995,4,13.6619351714,1.7949999999999946,14.3641458581,1.7999999999999972,11.1598243333,1.822899999999997,40.2056116062,13.599899999999998,5,None,None,None,None,21.6666000001,6.773999999999994,21.6666000001,6.773999999999994,6,12.959086329,1.7719999999999985,22.8694894777,2.5529999999999973,None,None,None,None
45,1350901.367380,7223763.554095,38.764650,6309040.028513,-0.003292,-0.162094,3,16.0502819414,1.7030500000000046,16.0502819414,1.7030500000000046,11.5204821444,1.7918500000000037,40.7903057487,11.615850000000002,4,12.7290181851,1.732050000000001,13.411772578,1.7370500000000035,11.4213912297,1.7729500000000016,41.213844285,13.536950000000004,5,None,None,None,None,22.6228608133,6.71105,22.6228608133,6.71105,6,12.6115734248,1.7070500000000024,21.9313984057,2.4900500000000036,None,None,None,None
