id,lon(rad),lat(rad),elevation(m),cap(rad),slope,crossfall,hasBridge,hasSwitch,hasTermination,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right
52,-0.0295171038029397,0.8398296726474972,38.396650,0.7914855744435243,-0.022992,0.159781,false,false,false,3,12.01,2.93,12.01,2.93,19.68,4.46,40.02,7.33,4,11.80,2.76,13.81,2.93,13.43,6.08,22.51,9.23,5,NaN,NaN,NaN,NaN,13.44,6.11,20.74,11.66,6,12.11,2.93,20.34,3.43,NaN,NaN,NaN,NaN
53,-0.0295166309747016,0.8398300302074004,38.326700,0.7973333974258902,0.005719,0.081662,false,false,false,3,11.94,2.88,12.05,2.97,20.04,4.59,42.37,7.40,4,11.86,2.88,14.07,2.99,13.70,2.57,24.56,9.30,5,NaN,NaN,NaN,NaN,14.41,5.89,22.76,11.73,6,12.15,2.97,19.19,3.48,NaN,NaN,NaN,NaN
54,-0.0295161567198372,0.8398303720914360,38.343700,0.8088199537912507,-0.012203,0.184168,false,false,false,3,11.77,2.13,12.91,2.91,14.00,2.52,27.92,6.00,4,11.90,2.85,12.00,2.97,12.00,2.79,23.23,9.58,5,NaN,NaN,NaN,NaN,16.53,5.87,24.99,11.71,6,12.01,2.96,24.08,3.46,NaN,NaN,NaN,NaN
55,-0.0295156604741715,0.8398307306063558,38.305700,0.7855681771760412,-0.025138,0.243413,false,false,false,3,11.45,2.18,13.87,2.92,16.16,2.58,30.29,7.65,4,11.76,2.86,12.21,2.96,11.45,2.48,25.85,10.06,5,NaN,NaN,NaN,NaN,18.78,9.86,24.48,11.73,6,11.94,2.96,21.67,3.49,NaN,NaN,NaN,NaN
56,-0.0295152000674048,0.8398310955257351,38.229200,0.7797203212909742,0.026935,0.065172,false,false,false,3,11.86,2.98,13.97,3.04,18.45,2.66,32.20,7.73,4,11.84,2.36,15.26,3.03,13.48,2.56,27.78,10.14,5,NaN,NaN,NaN,NaN,20.89,9.89,26.75,11.80,6,12.04,3.02,19.62,3.57,NaN,NaN,NaN,NaN
57,-0.0295147265246576,0.8398314452484815,38.310200,0.7971963643214566,-0.003086,0.158224,false,false,false,3,11.51,2.17,11.91,2.96,18.60,2.58,34.33,7.65,4,9.62,2.28,13.01,2.95,20.62,2.75,29.94,10.06,5,NaN,NaN,NaN,NaN,23.23,9.81,28.22,11.57,6,11.99,2.93,18.68,3.49,NaN,NaN,NaN,NaN
58,-0.0295142419849475,0.8398318032846952,38.300700,0.7855692376861705,-0.010898,0.176672,false,false,false,3,12.06,2.90,12.06,2.90,18.54,2.21,36.63,7.66,4,7.54,3.51,7.55,3.54,12.81,4.13,32.30,10.07,5,7.63,6.37,17.75,16.86,28.00,10.42,31.32,10.89,6,11.90,2.96,16.36,3.26,NaN,NaN,NaN,NaN
59,-0.0295137918593502,0.8398321520519446,38.268700,0.7742052833183479,-0.009726,0.207197,false,false,false,3,NaN,NaN,NaN,NaN,19.25,2.24,38.88,7.69,4,NaN,NaN,NaN,NaN,14.93,4.19,33.40,9.56,5,13.28,17.90,13.48,17.95,30.73,9.26,31.13,9.58,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,-0.0295132867544926,0.8398325423938753,38.236700,0.7680265873487818,-0.013042,0.194707,false,false,false,3,NaN,NaN,NaN,NaN,20.48,2.26,31.21,6.35,4,15.09,3.84,16.50,5.62,30.19,6.16,30.32,6.17,5,10.87,17.93,11.07,17.98,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,-0.0295128703294144,0.8398328740522405,38.200700,0.7614759469605344,-0.000979,0.216140,false,false,false,3,NaN,NaN,NaN,NaN,21.38,2.28,32.98,6.39,4,13.20,3.88,14.58,5.65,12.75,4.01,32.17,6.21,5,7.15,19.14,30.84,21.18,12.95,6.09,16.86,7.97,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,-0.0295123989251764,0.8398332472868437,38.197650,0.7570042918395318,0.013492,0.173165,true,false,false,3,NaN,NaN,NaN,NaN,23.16,2.30,35.15,6.39,4,16.87,3.11,22.76,5.81,11.09,4.39,34.41,6.21,5,16.81,5.92,27.03,21.19,15.02,6.08,18.91,7.97,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,-0.0295119392288585,0.8398336200429518,38.239200,0.7623170890586143,-0.020800,0.153767,false,false,false,3,NaN,NaN,NaN,NaN,22.84,2.25,37.39,6.35,4,14.21,2.92,26.06,5.90,12.33,3.09,36.72,6.17,5,16.72,8.03,25.96,21.29,12.61,6.08,13.82,20.27,6,NaN,NaN,NaN,NaN,16.07,3.69,16.38,3.85
64,-0.0295114781060562,0.8398339771239781,38.176650,0.7625840335810401,0.002873,0.179408,false,false,false,3,NaN,NaN,NaN,NaN,21.65,2.36,39.72,6.41,4,12.31,3.04,24.09,6.46,12.32,3.12,26.59,4.89,5,13.15,6.13,24.67,21.45,12.88,15.74,15.81,20.34,6,NaN,NaN,NaN,NaN,16.07,3.86,17.43,3.94
65,-0.0295110074125426,0.8398343581957850,38.185700,0.7570048786539639,-0.009365,0.169374,false,false,false,3,NaN,NaN,NaN,NaN,20.84,3.86,39.87,6.04,4,9.16,2.36,21.87,6.45,12.20,2.69,28.34,4.90,5,10.35,5.79,26.41,21.94,14.98,15.73,14.98,15.73,6,NaN,NaN,NaN,NaN,16.12,3.94,17.96,4.01
66,-0.0295105470020377,0.8398347231140822,38.157200,0.7559914864480397,0.007147,0.198344,false,false,false,3,NaN,NaN,NaN,NaN,14.99,2.36,39.98,5.62,4,6.70,4.60,19.93,6.48,14.30,2.72,20.05,8.04,5,9.20,6.84,23.47,22.06,19.62,13.14,20.29,13.58,6,NaN,NaN,NaN,NaN,16.02,4.02,16.32,4.07
67,-0.0295101092960928,0.8398350792395596,38.178200,0.7446558862410186,-0.006418,0.138522,false,false,false,3,NaN,NaN,NaN,NaN,14.23,2.38,21.13,5.54,4,3.56,4.15,24.27,7.16,13.63,3.06,21.96,8.02,5,9.47,6.47,21.28,22.04,17.64,12.30,22.16,13.55,6,NaN,NaN,NaN,NaN,16.10,4.02,16.43,4.33
68,-0.0295096503098316,0.8398354598334545,38.158200,0.7441724718612466,-0.011352,0.220643,false,false,false,3,NaN,NaN,NaN,NaN,16.28,2.40,23.07,5.56,4,7.19,2.51,20.73,7.37,12.96,2.36,24.20,8.04,5,10.59,9.62,19.21,22.06,17.32,12.04,24.36,13.57,6,NaN,NaN,NaN,NaN,18.06,4.02,18.26,4.39
